Gender,Year,Age,Country,imputed_flag,mx,logmx
Female,1953,68,CHE,FALSE,0.028735,-3.549639387
Female,1953,69,CHE,FALSE,0.03332,-3.401597462
Female,1953,70,CHE,FALSE,0.034904,-3.355153843
Female,1953,71,CHE,FALSE,0.036466,-3.311374959
Female,1953,72,CHE,FALSE,0.04636,-3.071318261
Female,1953,73,CHE,FALSE,0.052321,-2.950357459
Female,1953,74,CHE,FALSE,0.056048,-2.881546813
Female,1953,75,CHE,FALSE,0.066475,-2.710929342
Female,1953,76,CHE,FALSE,0.068873,-2.67549105
Female,1953,77,CHE,FALSE,0.086043,-2.452908108
Female,1953,78,CHE,FALSE,0.089688,-2.411418298
Female,1953,79,CHE,FALSE,0.104376,-2.259755515
Female,1953,80,CHE,FALSE,0.120018,-2.120113547
Female,1953,81,CHE,FALSE,0.115911,-2.154932624
Female,1953,82,CHE,FALSE,0.144544,-1.93417132
Female,1953,83,CHE,FALSE,0.145212,-1.929560535
Female,1953,84,CHE,FALSE,0.156426,-1.855172224
Female,1953,85,CHE,FALSE,0.197308,-1.622989319
Female,1953,86,CHE,FALSE,0.192806,-1.646070777
Female,1953,87,CHE,FALSE,0.23443,-1.450598243
Female,1953,88,CHE,FALSE,0.239749,-1.428162736
Female,1953,89,CHE,FALSE,0.266373,-1.322857697
Female,1953,90,CHE,FALSE,0.28922,-1.240567635
Female,1953,91,CHE,FALSE,0.264382,-1.330360252
Female,1953,92,CHE,FALSE,0.331108,-1.105310673
Female,1953,93,CHE,FALSE,0.310275,-1.170296278
Female,1953,94,CHE,FALSE,0.435897,-0.830349302
Female,1953,95,CHE,FALSE,0.506494,-0.680242801
Female,1953,96,CHE,FALSE,0.582524,-0.540384893
Female,1953,97,CHE,FALSE,0.409938,-0.89174935
Female,1953,98,CHE,FALSE,0.610169,-0.494019311
Female,1953,99,CHE,FALSE,0.48,-0.733969175
Female,1954,0,CHE,FALSE,0.024316,-3.716620709
Female,1954,1,CHE,FALSE,0.002098,-6.166770769
Female,1954,2,CHE,FALSE,0.001536,-6.478573644
Female,1954,3,CHE,FALSE,0.000997,-6.910759788
Female,1954,4,CHE,FALSE,0.000936,-6.973895081
Female,1954,5,CHE,FALSE,0.000659,-7.324787023
Female,1954,6,CHE,FALSE,0.000481,-7.639643288
Female,1954,7,CHE,FALSE,0.000408,-7.804243384
Female,1954,8,CHE,FALSE,0.000475,-7.652195754
Female,1954,9,CHE,FALSE,0.000414,-7.789644584
Female,1954,10,CHE,FALSE,0.000225,-8.399410156
Female,1954,11,CHE,FALSE,0.000336,-7.998399398
Female,1954,12,CHE,FALSE,0.000278,-8.187889444
